Line	ID	patternID	z	Cl	H2O2	OrganicMatter	O2	larvae	adults	mass
LINESTRING(714863.190 4641982.000,714853.910 4641975.750)	TU1-0	TU1	360.000	0	0	1	8	3.21636735e-321	9.3801464	0
LINESTRING(714853.910 4641975.750,714844.630 4641969.500)	TU1-1	TU1	360.000	0	0	1	8	3.22130801e-321	9.5339193	0
LINESTRING(714821.750 4642639.000,714820.060 4642645.000)	TU10-0	TU10	355.000	0	0	1	8	5.02958827e-321	3.86895994	0
LINESTRING(717198.870 4640378.000,717198.969 4640388.211)	TU100-0	TU100	338.632	0	0	1	8	1.85768683e-321	21.8310237	0
LINESTRING(717198.969 4640388.211,717199.068 4640398.421)	TU100-1	TU100	338.263	0	0	1	8	1.86756814e-321	23.2967108	0
LINESTRING(717199.068 4640398.421,717199.167 4640408.632)	TU100-2	TU100	337.895	0	0	1	8	1.87744945e-321	22.6795794	0
LINESTRING(717199.167 4640408.632,717199.266 4640418.842)	TU100-3	TU100	337.526	0	0	1	8	1.88733077e-321	21.9081651	0
LINESTRING(717199.266 4640418.842,717199.365 4640429.053)	TU100-4	TU100	337.158	0	0	1	8	1.89721208e-321	24.0681251	0
LINESTRING(717199.365 4640429.053,717199.464 4640439.263)	TU100-5	TU100	336.789	0	0	1	8	1.90709339e-321	20.9053266	0
LINESTRING(717199.464 4640439.263,717199.563 4640449.474)	TU100-6	TU100	336.421	0	0	1	8	1.91697471e-321	23.6052765	0
LINESTRING(717199.563 4640449.474,717199.662 4640459.684)	TU100-7	TU100	336.053	0	0	1	8	1.92685602e-321	22.6795794	0
LINESTRING(717199.662 4640459.684,717199.761 4640469.895)	TU100-8	TU100	335.684	0	0	1	8	1.93673733e-321	21.8310237	0
LINESTRING(717199.761 4640469.895,717199.859 4640480.105)	TU100-9	TU100	335.316	0	0	1	8	1.94661864e-321	20.7510437	0
LINESTRING(717199.859 4640480.105,717199.958 4640490.316)	TU100-10	TU100	334.947	0	0	1	8	1.95649996e-321	23.0652865	0
LINESTRING(717199.958 4640490.316,717200.057 4640500.526)	TU100-11	TU100	334.579	0	0	1	8	1.96638127e-321	23.1424279	0
LINESTRING(717200.057 4640500.526,717200.156 4640510.737)	TU100-12	TU100	334.211	0	0	1	8	1.97626258e-321	24.4538322	0
LINESTRING(717200.156 4640510.737,717200.255 4640520.947)	TU100-13	TU100	333.842	0	0	1	8	1.9861439e-321	23.0652865	0
LINESTRING(717200.255 4640520.947,717200.354 4640531.158)	TU100-14	TU100	333.474	0	0	1	8	1.99602521e-321	23.4509937	0
LINESTRING(717200.354 4640531.158,717200.453 4640541.368)	TU100-15	TU100	333.105	0	0	1	8	2.00590652e-321	24.7623979	0
LINESTRING(717200.453 4640541.368,717200.552 4640551.579)	TU100-16	TU100	332.737	0	0	1	8	2.01578784e-321	23.7595594	0
LINESTRING(717200.552 4640551.579,717200.651 4640561.789)	TU100-17	TU100	332.368	0	0	1	8	2.02566915e-321	24.8395393	0
LINESTRING(717200.651 4640561.789,717200.750 4640572.000)	TU100-18	TU100	332.000	0	0	1	8	2.0306098e-321	19.902488	0
LINESTRING(717199.500 4640364.000,717198.870 4640378.000)	TU101-0	TU101	339.000	0	0	1	8	1.84780552e-321	20.9175068	0
LINESTRING(716657.000 4642011.110,716650.660 4642023.630)	TU101-0	TU101	343.000	0	0	1	8	3.24601129e-321	11.9227571	0
LINESTRING(717199.500 4640364.000,717186.185 4640363.250)	TU102-0	TU102	340.000	0	0	1	8	1.84780552e-321	2.67557561	0
LINESTRING(717186.185 4640363.250,717172.870 4640362.500)	TU102-1	TU102	340.000	0	0	1	8	1.84780552e-321	3.01002256	0
LINESTRING(717066.190 4640053.000,717069.893 4640061.639)	TU103-0	TU103	331.250	0	0	1	8	1.50195956e-321	26.6967362	0
LINESTRING(717069.893 4640061.639,717073.596 4640070.278)	TU103-1	TU103	331.500	0	0	1	8	1.51184088e-321	26.510912	0
LINESTRING(717073.596 4640070.278,717077.299 4640078.917)	TU103-2	TU103	331.750	0	0	1	8	1.52172219e-321	25.1482016	0
LINESTRING(717077.299 4640078.917,717081.002 4640087.556)	TU103-3	TU103	332.000	0	0	1	8	1.5316035e-321	27.1922672	0
LINESTRING(717081.002 4640087.556,717084.705 4640096.194)	TU103-4	TU103	332.250	0	0	1	8	1.54148482e-321	26.6967362	0
LINESTRING(717084.705 4640096.194,717088.408 4640104.833)	TU103-5	TU103	332.500	0	0	1	8	1.55136613e-321	26.3870293	0
LINESTRING(717088.408 4640104.833,717092.111 4640113.472)	TU103-6	TU103	332.750	0	0	1	8	1.56124744e-321	27.6258569	0
LINESTRING(717092.111 4640113.472,717095.814 4640122.111)	TU103-7	TU103	333.000	0	0	1	8	1.57112875e-321	26.015381	0
LINESTRING(717095.814 4640122.111,717099.517 4640130.750)	TU103-8	TU103	333.250	0	0	1	8	1.58101007e-321	27.2542086	0
LINESTRING(717099.517 4640130.750,717103.221 4640139.389)	TU103-9	TU103	333.500	0	0	1	8	1.59089138e-321	27.2542086	0
LINESTRING(717103.221 4640139.389,717106.924 4640148.028)	TU103-10	TU103	333.750	0	0	1	8	1.60077269e-321	25.8295568	0
LINESTRING(717106.924 4640148.028,717110.627 4640156.667)	TU103-11	TU103	334.000	0	0	1	8	1.61065401e-321	26.015381	0
LINESTRING(717110.627 4640156.667,717114.330 4640165.306)	TU103-12	TU103	334.250	0	0	1	8	1.62053532e-321	26.6347948	0
LINESTRING(717114.330 4640165.306,717118.033 4640173.944)	TU103-13	TU103	334.500	0	0	1	8	1.63041663e-321	27.2542086	0
LINESTRING(717118.033 4640173.944,717121.736 4640182.583)	TU103-14	TU103	334.750	0	0	1	8	1.64029794e-321	27.8736225	0
LINESTRING(717121.736 4640182.583,717125.439 4640191.222)	TU103-15	TU103	335.000	0	0	1	8	1.65017926e-321	25.8914982	0
LINESTRING(717125.439 4640191.222,717129.142 4640199.861)	TU103-16	TU103	335.250	0	0	1	8	1.66006057e-321	25.0243188	0
LINESTRING(717129.142 4640199.861,717132.845 4640208.500)	TU103-17	TU103	335.500	0	0	1	8	1.66994188e-321	24.9004361	0
LINESTRING(717132.845 4640208.500,717136.548 4640217.139)	TU103-18	TU103	335.750	0	0	1	8	1.6798232e-321	26.7586776	0
LINESTRING(717136.548 4640217.139,717140.251 4640225.778)	TU103-19	TU103	336.000	0	0	1	8	1.68970451e-321	24.3429636	0
LINESTRING(717140.251 4640225.778,717143.954 4640234.417)	TU103-20	TU103	336.250	0	0	1	8	1.69958582e-321	24.1571395	0
LINESTRING(717143.954 4640234.417,717147.657 4640243.056)	TU103-21	TU103	336.500	0	0	1	8	1.70946713e-321	26.1392637	0
LINESTRING(717147.657 4640243.056,717151.360 4640251.694)	TU103-22	TU103	336.750	0	0	1	8	1.71934845e-321	26.4489707	0
LINESTRING(717151.360 4640251.694,717155.063 4640260.333)	TU103-23	TU103	337.000	0	0	1	8	1.72922976e-321	26.4489707	0
LINESTRING(717155.063 4640260.333,717158.766 4640268.972)	TU103-24	TU103	337.250	0	0	1	8	1.73911107e-321	25.6437327	0
LINESTRING(717158.766 4640268.972,717162.469 4640277.611)	TU103-25	TU103	337.500	0	0	1	8	1.74899239e-321	26.8825603	0
LINESTRING(717162.469 4640277.611,717166.172 4640286.250)	TU103-26	TU103	337.750	0	0	1	8	1.7588737e-321	23.8474326	0
LINESTRING(717166.172 4640286.250,717169.876 4640294.889)	TU103-27	TU103	338.000	0	0	1	8	1.76875501e-321	24.1571395	0
LINESTRING(717169.876 4640294.889,717173.579 4640303.528)	TU103-28	TU103	338.250	0	0	1	8	1.77863633e-321	26.5728534	0
LINESTRING(717173.579 4640303.528,717177.282 4640312.167)	TU103-29	TU103	338.500	0	0	1	8	1.78851764e-321	26.5728534	0
LINESTRING(717177.282 4640312.167,717180.985 4640320.806)	TU103-30	TU103	338.750	0	0	1	8	1.79839895e-321	25.2720844	0
LINESTRING(717180.985 4640320.806,717184.688 4640329.444)	TU103-31	TU103	339.000	0	0	1	8	1.80828026e-321	26.2012051	0
LINESTRING(717184.688 4640329.444,717188.391 4640338.083)	TU103-32	TU103	339.250	0	0	1	8	1.81816158e-321	26.0773224	0
LINESTRING(717188.391 4640338.083,717192.094 4640346.722)	TU103-33	TU103	339.500	0	0	1	8	1.82804289e-321	26.015381	0
LINESTRING(717192.094 4640346.722,717195.797 4640355.361)	TU103-34	TU103	339.750	0	0	1	8	1.8379242e-321	26.2631465	0
LINESTRING(717195.797 4640355.361,717199.500 4640364.000)	TU103-35	TU103	340.000	0	0	1	8	1.84286486e-321	20.5645392	0
LINESTRING(716966.560 4639812.000,716970.392 4639821.269)	TU104-0	TU104	328.115	0	0	1	8	1.24504543e-321	26.4583036	0
