Line	ID	patternID	z	Cl	H2O2	OrganicMatter	O2	larvae	adults	mass
LINESTRING(695275.120 4656445.550,695250.413 4656452.112)	1-0	1	377.388	0	0	1	8	1	5.91549346	0
LINESTRING(695250.413 4656452.112,695225.707 4656458.673)	1-1	1	377.497	0	0	1	8	1	7.7263588	0
LINESTRING(695225.707 4656458.673,695201.000 4656465.235)	1-2	1	377.605	0	0	1	8	1	7.24346138	0
LINESTRING(695201.000 4656465.235,695176.293 4656471.797)	1-3	1	377.713	0	0	1	8	1	6.03621782	0
LINESTRING(695176.293 4656471.797,695151.587 4656478.358)	1-4	1	377.822	0	0	1	8	1	7.00201267	0
LINESTRING(695151.587 4656478.358,695126.880 4656484.920)	1-5	1	377.930	0	0	1	8	1	6.27766653	0
LINESTRING(694487.160 4652951.600,694479.351 4652957.559)	10-0	10	358.466	0	0	1	8	1	0	0
LINESTRING(694479.351 4652957.559,694471.542 4652963.518)	10-1	10	358.592	0	0	1	8	1	0	0
LINESTRING(694471.542 4652963.518,694463.732 4652969.478)	10-2	10	358.718	0	0	1	8	1	0	0
LINESTRING(694463.732 4652969.478,694455.923 4652975.437)	10-3	10	358.844	0	0	1	8	1	0	0
LINESTRING(694455.923 4652975.437,694448.114 4652981.396)	10-4	10	358.970	0	0	1	8	1	0	0
LINESTRING(694448.114 4652981.396,694440.305 4652987.355)	10-5	10	359.096	0	0	1	8	1	0	0
LINESTRING(694440.305 4652987.355,694432.496 4652993.314)	10-6	10	359.222	0	0	1	8	1	0	0
LINESTRING(694432.496 4652993.314,694424.686 4652999.274)	10-7	10	359.348	0	0	1	8	1	0	0
LINESTRING(694424.686 4652999.274,694416.877 4653005.233)	10-8	10	359.474	0	0	1	8	1	0	0
LINESTRING(694416.877 4653005.233,694409.068 4653011.192)	10-9	10	359.600	0	0	1	8	1	0	0
LINESTRING(694409.068 4653011.192,694401.259 4653017.151)	10-10	10	359.726	0	0	1	8	1	0	0
LINESTRING(694401.259 4653017.151,694393.450 4653023.110)	10-11	10	359.852	0	0	1	8	1	0	0
LINESTRING(694393.450 4653023.110,694385.640 4653029.070)	10-12	10	359.978	0	0	1	8	1	0	0
LINESTRING(694385.640 4653029.070,694377.831 4653035.029)	10-13	10	360.104	0	0	1	8	1	0	0
LINESTRING(694377.831 4653035.029,694370.022 4653040.988)	10-14	10	360.230	0	0	1	8	1	0	0
LINESTRING(694370.022 4653040.988,694362.213 4653046.947)	10-15	10	360.356	0	0	1	8	1	0	0
LINESTRING(694362.213 4653046.947,694354.404 4653052.906)	10-16	10	360.482	0	0	1	8	1	0	0
LINESTRING(694354.404 4653052.906,694346.594 4653058.866)	10-17	10	360.608	0	0	1	8	1	0	0
LINESTRING(694346.594 4653058.866,694338.785 4653064.825)	10-18	10	360.734	0	0	1	8	1	0	0
LINESTRING(694338.785 4653064.825,694330.976 4653070.784)	10-19	10	360.860	0	0	1	8	1	0	0
LINESTRING(694330.976 4653070.784,694323.167 4653076.743)	10-20	10	360.986	0	0	1	8	1	0	0
LINESTRING(694323.167 4653076.743,694315.358 4653082.702)	10-21	10	361.112	0	0	1	8	1	0	0
LINESTRING(694315.358 4653082.702,694307.548 4653088.662)	10-22	10	361.238	0	0	1	8	1	0	0
LINESTRING(694307.548 4653088.662,694299.739 4653094.621)	10-23	10	361.364	0	0	1	8	1	0	0
LINESTRING(694299.739 4653094.621,694291.930 4653100.580)	10-24	10	361.490	0	0	1	8	1	0	0
LINESTRING(694291.930 4653100.580,694284.121 4653106.539)	10-25	10	361.616	0	0	1	8	1	0	0
LINESTRING(694284.121 4653106.539,694276.312 4653112.498)	10-26	10	361.742	0	0	1	8	1	0	0
